invoice_id,flagged,error_category,expected_total_cents,billed_total_cents,confidence
INV-H1-000772,0,,3805854,3805854,0.9
INV-H1-000773,0,,2458809,2458809,0.9
INV-H1-000774,0,,1415218,1415218,0.95
INV-H1-000775,0,,3401339,3401339,0.9
INV-H1-000777,0,,2429769,2429769,0.95
INV-H1-000780,0,,2770225,2770225,0.9
INV-H1-000782,0,,2323407,2323407,0.95
INV-H1-000783,0,,642675,642675,0.9
INV-H1-000784,0,,2218255,2218255,0.95
INV-H1-000785,0,,1849775,1849775,0.95
INV-H1-000786,0,,2993000,2993000,0.95
INV-H1-000787,0,,2059029,2059029,0.9
INV-H1-000788,0,,1059825,1059825,0.9
INV-H1-000789,0,,2758680,2758680,0.95
INV-H1-000790,0,,2404480,2404480,0.95
INV-H1-000793,0,,4245835,4245835,0.95
INV-H1-000795,0,,2554725,2554725,0.9
INV-H1-000796,0,,4969812,4969812,0.9
INV-H1-000799,0,,2070577,2070577,0.9
INV-H1-000800,0,,6020653,6020653,0.95
INV-H1-000801,0,,1984773,1984773,0.95
INV-H1-000802,0,,3487115,3487115,0.95
INV-H1-000804,0,,3265145,3265145,0.95
INV-H1-000805,0,,2615344,2615344,0.9
INV-H1-000806,0,,3064055,3064055,0.9
INV-H1-000807,0,,1638523,1638523,0.95
INV-H1-000809,0,,3454991,3454991,0.95
INV-H1-000810,0,,2165925,2165925,0.95
INV-H1-000811,1,unknown_service;effective_rate_mismatch;line_amount_mismatch,3629745,3714657,0.65
INV-H1-000812,0,,1387250,1387250,0.95
INV-H1-000813,0,,3977875,3977875,0.9
INV-H1-000814,0,,1543045,1543045,0.95
INV-H1-000815,0,,3088264,3088264,0.9
INV-H1-000818,0,,3887630,3887630,0.95
INV-H1-000819,0,,981038,981038,0.9
INV-H1-000820,1,invoice_total_mismatch;effective_rate_mismatch;line_amount_mismatch,2850137,2881532,0.65
INV-H1-000822,0,,1267835,1267835,0.95
INV-H1-000823,0,,1875655,1875655,0.95
INV-H1-000824,0,,2221734,2221734,0.95
INV-H1-000825,0,,3468479,3468479,0.9
INV-H1-000827,0,,3298041,3298041,0.95
INV-H1-000828,0,,3108983,3108983,0.95
INV-H1-000829,0,,3151440,3151440,0.9
INV-H1-000831,0,,2070440,2070440,0.95
INV-H1-000832,0,,4095085,4095085,0.95
INV-H1-000833,0,,1669100,1669100,0.95
INV-H1-000834,0,,1031797,1031797,0.95
INV-H1-000835,0,,2718965,2718965,0.95
INV-H1-000836,0,,3025568,3025568,0.9
INV-H1-000837,0,,1216911,1216911,0.95
INV-H1-000838,0,,2223931,2223931,0.95
INV-H1-000839,0,,4664610,4664610,0.95
INV-H1-000840,0,,4454870,4454870,0.9
INV-H1-000841,0,,4617910,4617910,0.95
INV-H1-000843,0,,1086850,1086850,0.95
INV-H1-000844,0,,663386,663386,0.9
INV-H1-000845,0,,3290314,3290314,0.9
INV-H1-000847,1,wrong_unit_basis,3988200,3988200,0.65
INV-H1-000848,0,,3271454,3271454,0.9
INV-H1-000849,0,,3927848,3927848,0.9
INV-H1-000850,0,,5287691,5287691,0.9
INV-H1-000852,1,service_date_out_of_window;service_date_after_invoice_date;cross_invoice_duplicate,2145525,2388675,0.65
INV-H1-000853,0,,1939273,1939273,0.95
INV-H1-000854,0,,3361815,3361815,0.95
INV-H1-000856,0,,860340,860340,0.95
INV-H1-000857,0,,2300235,2300235,0.95
INV-H1-000858,0,,2163860,2163860,0.95
INV-H1-000859,0,,775725,775725,0.95
INV-H1-000860,0,,4432235,4432235,0.95
INV-H1-000861,0,,2483775,2483775,0.95
INV-H1-000862,0,,1902331,1902331,0.95
INV-H1-000864,0,,5563320,5563320,0.9
INV-H1-000865,0,,3607964,3607964,0.95
INV-H1-000867,0,,5888095,5888095,0.9
INV-H1-000872,0,,1783506,1783506,0.9
INV-H1-000873,1,contract_number_mismatch;effective_rate_mismatch;invoice_amount_mismatch;line_amount_mismatch,1606768,1620843,0.65
INV-H1-000874,0,,4914354,4914354,0.95
INV-H1-000875,0,,1851716,1851716,0.95
INV-H1-000877,0,,1831050,1831050,0.95
INV-H1-000878,0,,465023,465023,0.95
INV-H1-000879,0,,1409079,1409079,0.95
INV-H1-000880,0,,1781344,1781344,0.95
INV-H1-000881,0,,4549164,4549164,0.9
INV-H1-000882,0,,4953447,4953447,0.95
INV-H1-000883,0,,6169030,6169030,0.95
INV-H1-000885,0,,1260530,1260530,0.95
INV-H1-000886,0,,1208930,1208930,0.95
INV-H1-000887,0,,561050,561050,0.95
INV-H1-000889,0,,1408665,1408665,0.95
INV-H1-000890,0,,1368317,1368317,0.95
INV-H1-000891,0,,902350,902350,0.95
INV-H1-000892,0,,1028425,1028425,0.95
INV-H1-000893,0,,2692710,2692710,0.9
INV-H1-000894,0,,1531372,1531372,0.9
INV-H1-000896,0,,2917920,2917920,0.95
INV-H1-000897,0,,2344075,2344075,0.95
INV-H1-000898,0,,2237689,2237689,0.9
INV-H1-000900,0,,4565783,4565783,0.95
INV-H1-000901,0,,3226125,3226125,0.95
INV-H1-000902,0,,2514158,2514158,0.9
INV-H1-000904,0,,2011695,2011695,0.9
INV-H1-000906,0,,857575,857575,0.95
INV-H1-000907,0,,1270625,1270625,0.95
INV-H1-000908,0,,3268266,3268266,0.9
INV-H1-000909,0,,1333831,1333831,0.95
INV-H1-000910,0,,3954572,3954572,0.9
INV-H1-000911,0,,1781766,1781766,0.95
INV-H1-000913,0,,1484675,1484675,0.95
INV-H1-000915,0,,1610819,1610819,0.9
INV-H1-000916,0,,2434972,2434972,0.9
INV-H1-000917,0,,2843717,2843717,0.9
INV-H1-000918,0,,2565249,2565249,0.95
